codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras,ferramentas_basicas_para_oficina
0000-850-1300,1654.22,1,Bomba,MS08 MS034 MS362 MS382 MS038 MS051 MS076 HS45 BR430 HT70K TS800 FS300 FS350 FS380 FS460 FSBG SH56 KA120 BG50 HT133,1,0,3.25,84132000,795711660222,Ferramenta Básica
0000-855-8106,5.59,5,Placa de vedação,MS08 MS034 MS038,1,10,11.7,40169990,795711480028,
0000-855-8107,5.77,3,Placa de vedação,MS362,1,10,11.7,40169990,795711480417,
0000-855-9200,32.9,1,Nípel,HS45 HS80 PC70 PC75 BT130 BR430 HT70K TS800 MS362 MS382 FS300 FS350 FS380 FS460 FSBG SH56 KA120 BG50 HT133,1,10,3.25,74122000,795711480424,
0000-855-9201,111.28,1,Nípel,Verificar estanqueidade do carburador,1,10,3.25,74122000,795711971007,
0000-881-1957,729.0,1,Machado florestal AX 16 S,Uso: possui um reforço metálico para proteger o cabo contra impactos,1,10,0.0,82014000,795711379940,
0000-881-2710,99.0,1,Gancho,Alavancas de derrubada - 130cm e 80cm,1,10,0.0,82019000,795711003197,
0000-881-4500,36.33,1,Cabo de lima com ângulos de afiação,Limas redonda e chata,1,10,9.75,39269090,795711004088,
0000-881-4502,39.01,1,Cabo da lima FH1,Limas redonda,1,10,9.75,39269090,795711162702,
0000-881-4503,39.01,1,Cabo da lima FH3,Lima chata,1,10,9.75,39269090,795711162719,
0000-890-1701,2514.78,1,Conjunto ferramentas de teste,,1,10,0.0,90262010,795711320508,Ferramenta Básica
0000-890-2201,117.0,1,Ferramenta de montagem,MS08 MS025 MS034 MS036 MS362 MS382 MS038 MS039 MS051 MS066 MS076 TS800P835 TS840 FS44 FS86 FS106 FS220 FS460 FR106 FR108 E14 MS361 BR430,1,10,5.2,82055900,795711437817,
0000-890-2300,7.4,5,Chave de fenda,BT121 MS025 MS250 MS039 MS382 MS390 MS046 MS066 MS650 FS44 FS86 FS88 FS106 FS108 FS120 FS160 FS220 FS280 FS460 FR106 FR108 KM55 PC70 HS82R MSA160T HTA85 KA120 HT133 RE90 RE110,1,10,5.2,82054000,795711155582,Ferramenta Básica
0000-890-2300,7.4,5,Chave de fenda,BT121 MS025 MS250 MS039 MS382 MS390 MS046 MS066 MS650 FS44 FS86 FS88 FS106 FS108 FS120 FS160 FS220 FS280 FS460 FR106 FR108 KM55 PC70 HS82R MSA160T HTA85 KA120 HT133 RE90 RE95 RE95 RE110,1,10,5.2,82054000,795711155582,
0000-890-3402,34.51,1,Chave combinada,MS193T HT133,1,10,5.2,82054000,795711697983,
0000-890-3700,42.56,1,Garra,FS460,1,10,5.2,82055900,795711439101,
0000-890-6400,26.67,3,Calibrador de corrente,FS460,1,0,3.25,90318099,795711865542,
0000-890-6401,110.19,1,Calibrador de corrente,MS038 MS051 MS076 MS362 MS382 TS800 FS460,1,10,0.0,90173090,886661246076,Ferramenta Básica
0000-893-2401,76.44,1,Luva de montagem,TS420 FS460,1,10,5.2,82055900,886661156993,
0000-893-2600,10.15,1,Cinto Anel,MS08 MS034 MS362 MS382 MS038 MS051 MS076 PC70 PC75 HT70K TS800 FS300 FS350 FS380 FS460 HS82R KA120 BG50,1,10,5.2,82055900,795711437824,Ferramenta Básica
0000-893-3700,185.83,1,Garra (com perfil nº 1 + 2),TS800 FS300 FS350 FS380 FS460 FSBG SH56 MS382 KA120 FSA56 BG50 HT133 HLA65,1,10,5.2,82055900,795711437831,
0000-893-3703,95.09,1,Garra (com perfil nº 7),TS800 FSA56 KA120 BG50 HT133 HLA65,1,10,5.2,82055900,795711437855,
0000-893-3706,185.83,1,Garra (com perfil nº 3.1 + 4),Todos os modelos de máquinas,1,10,5.2,82055900,795711441487,
0000-893-3711,185.83,1,Garra (com perfil nº 6),MS460 TS800 FSA56 KA120 BG50 HT133 HLA65,1,10,5.2,82055900,795711441494,
0000-893-4005,22.69,1,"Calibrador da corrente 1/4"" Picco",MSA160,1,10,0.0,90173090,795711441531,
0000-893-4700,49.27,1,Pino de montagem,SPA65,1,10,5.2,82055900,795711441746,
0000-893-5903,12.32,5,Tranca pistão,MS025 MS034 MS036 MS362 MS382 MS038 MS039 MS064 MS066 FS85 HS45 HS80 SR400 PC70 PC75HT70K TS800 FS300 FS350 FS380 FS460,1,10,5.2,82055900,795711441357,Ferramenta Básica
0000-893-5904,12.32,1,Tranca pistão,HS81 HS82R BG86 BR430 FS460 FSBG SH56,1,10,5.2,82055900,795711441579,Ferramenta Básica
0000-893-5905,12.32,5,Tranca pistão,MS193T,1,10,5.2,82055900,886661159079,
0000-893-8100,23.73,1,Ferramenta de desmontagem,RMA370,1,10,5.2,82055900,795711861117,
0783-830-2000,88.94,1,Massa de vedação HT vermelho 70 ml,BT121 MS025 MS250 MS039 MS310 MS390 MS210 FS85R FS88 FS108 FS120 FS250 FS300 FS350 FR85 FR350108 HS80 HT75 KA85R HS45 HS81R KM55 BR600,1,0,0.0,35069900,795711482435,
0811-270-1080,14.71,3,Chave allen 4x130x70,MS051,5,10,5.2,82054000,795711482466,
0811-611-1001,163.01,1,Alicate,PC70 PC75,1,10,5.2,82032010,886661061983,
0811-611-8200,183.11,1,Alicate A10,SR420 MS380 MS382 TS420 TS760 BT120 BT130 FS220 FS280 FS290 HL75 RE110,1,10,5.2,82032010,795711482596,
0811-611-8380,200.32,1,Alicate DIN5254-A19,MS362 TSA230,1,10,5.2,82032010,795711482534,
0811-630-1001,143.99,1,Alicate,PC70 PC75,1,10,5.2,82032010,886661061976,
0811-641-8380,160.84,1,Alicate C19,BT130 HS45 FS300 FS350 FS380 FS460 TSA230 MS382 KA120,1,10,5.2,82032010,795711482541,Ferramenta Básica
0812-012-1119,19.71,1,Chave 13x17,BT45,1,10,5.2,82041100,795711019228,
0812-032-1016,14.79,1,Chave de uma boca SW13,BT45,1,10,5.2,82041100,795711019297,
0812-032-1023,19.71,1,Chave de uma boca SW19,BT45,1,10,5.2,82041100,795711482640,
0812-260-1008,4.93,3,Chave allen 5x28x80,MS038 MS051 MS076 TS350,0,10,5.2,82054000,795711019310,
0812-370-1000,4.93,5,Chave angular para parafuso T27x120x70,MS08 MS025 MS210 MS250 MS034 MS036 MS310 MS360 MS038 MS390 MS046 MS460 MS051 MS066 MS660 MS650 MS076 E160 FS44 FS160 FS220 FS280 SP81 KM55 SG20 FSA65 FSA85 HT70K HT133,3,10,5.2,82054000,795711482503,
0812-370-1001,6.83,1,Chave T27x68x68,FSE60,1,10,5.2,82054000,795711482510,
0812-370-1143,4.93,1,Chave T20x100x50,BR600 FSA56,1,10,5.2,82054000,795711079215,
0812-540-1016,81.33,1,"inserção T20x140(5,0x115)",MS193T RE88 HSA66,1,10,5.2,82042000,886661142064,
0812-540-1112,82.1,1,Peça intercalada,HS45,1,10,6.5,73182900,795711482558,
0812-542-2041,124.11,1,"Elemento T20x125-D6,3",MS193T RE88 RE90 MSA160T HSA56 HSA66 FSA56 BGA56 RE110 RE232,1,10,5.2,82042000,795711482657,
0812-542-2104,124.11,1,Chave soquete Torx T27x125 Encaixe 1/4”,HT70K FS460 FSA56 FSA65 SPA65 FS300 FS350 FS380 FSBG SH56 MSA160T HTA85 TSA230 MS382 HSA56 HSA66 KA120 BGA56 MSA120 MSA140 BG50 HT133 HLA65 RE110,1,10,5.2,82042000,795711482459,
0816-610-1495,585.36,1,Alicate anular de segurança,FS88 FS108 FS300 FS350 FS380 FS460 FR108 PC70 PC75 HT70K KA120,1,10,5.2,82032010,795711482480,Ferramenta Básica
1106-850-4201,138.83,1,Flange,FerramentaMS08 KA120 BG50 HT133,1,10,3.25,73079100,795711484002,Ferramenta Básica
1106-890-4501,186.37,1,Extrator,MS08 MS066 TS800,1,10,5.2,82055900,795711483500,Ferramenta Básica
1107-191-1200,95.82,1,Tranca pistão,MS08 MS051 MS076 FS460,1,10,5.2,82055900,795711483371,
1107-191-1201,3.49,2,Parafuso de encosto,MS08 MS051 MS076 TS350,5,10,6.5,73181500,795711483388,
1107-890-3400,34.51,2,Chave combinada,MS08 TS350 P835 P840,5,10,5.2,82041100,795711021306,
1107-890-4500,488.65,1,Extrator,MS08 MS382,1,10,5.2,82055900,795711483753,
1108-890-3400,34.51,2,Chave combinada,MS08,5,10,5.2,82041100,795711021627,
1108-893-2405,199.77,1,Luva de montagem,MS08,1,10,5.2,82055900,795711484422,
1110-890-4500,52.71,1,Extrator,MS034 MS038 MS051 MS076 MS382 FS460,1,10,5.2,82055900,795711489403,Ferramenta Básica
1110-893-4000,23.6,2,"Calibrador da corrent 1/4"", 3/8""P, .325""",MS260 MS310 MS361 MS381 MS460 MS650 MS650 MS192T MS170 MS180 MS210 MS230 MS250 HT75 HT131,1,10,0.0,90173090,795711087470,
1110-893-4700,42.75,1,Pino de montagem para pistão,MS034 MS038,1,10,5.2,82055900,795711488871,
1111-890-1420,57.75,1,Jogo de ferramentas,MS051 MS076,5,10,5.2,82055900,886661215584,
1111-890-3400,32.03,3,Chave combinada,MS051 MS076,5,10,5.2,82041100,795711022150,
1111-893-1300,59.23,2,Chave,MS051 MS076,5,10,5.2,82041100,795711488024,
1113-893-4600,66.48,1,Luva de montagem,SR400,1,10,5.2,82055900,795711490409,
1114-893-4601,128.78,3,Luva de montagem,FS460 SPA65,1,10,5.2,82055900,795711488802,
1114-893-4700,6.16,5,Pino de montagem,Ferramenta FS86 300 350 380,1,10,5.2,82055900,795711488819,
1115-893-4600,214.26,1,Luva de montagem,FS86 FS106 FS300 FS350 FS380 FS460 FR106 PC70 PC75 BT130 HT70K,1,10,5.2,82055900,795711490386,
1116-893-4800,110.67,1,Ferramenta de montagem,MS460 MSBG SH56,1,10,5.2,82055900,795711492281,
1117-890-0900,72.45,1,Tubo para montar mola,MS034 MS038,1,10,5.2,82055900,795711493516,
1117-893-7200,121.76,1,Pino de montagem,BT130,1,10,6.5,73182900,886661149124,
1118-850-4200,93.86,1,Flange para teste de vedação,FerramentaMS025 FerramentaMS034 FerramentaMS038 KA120 BG50 HT133,1,10,3.25,73079100,795711489779,Ferramenta Básica
1118-893-2401,47.46,1,Luva de pressão,MS034 MS038,1,10,5.2,82055900,795711492069,
1118-893-4602,39.49,1,Luva de montagem,MS034 BR430,1,10,5.2,82055900,795711492908,Ferramenta Básica
1118-893-7200,49.63,1,Pino para montar rolamento,MS034 MS038,1,10,5.2,82055900,795711492915,
1119-850-4201,49.69,1,Flange,STIHL DE 03.2016 FERRAMENT. ESPECIAISMS382 KA120 BG50 HT133,1,10,6.5,76161000,795711494797,Ferramenta Básica
1119-893-2410,36.41,1,Luva de montagem,MS038 MS382,1,10,5.2,82055900,795711493059,Ferramenta Básica
1119-893-7200,57.57,1,Pino para rolamento,MS038,1,10,6.5,73182900,795711492335,
1120-893-2400,94.19,1,Luva de montagem,MS260 BT130,1,10,5.2,82055900,795711494209,
1120-893-7200,110.75,1,Pino de montagem,MS260,1,10,6.5,73182400,795711493806,
1121-890-1400,55.25,1,Jogo de ferramentas,MS034 MS036 MS038 MS382 MS046 MS460 MS066 MS660 MS650,5,10,5.2,82055900,795711025694,
1121-893-2400,70.78,1,Pino de montagem,MS034,1,10,6.5,73182900,795711510114,
1122-893-2405,78.97,1,Cone de montagem,RE90 MS362 MS066,1,10,5.2,82055900,795711513955,
1122-893-4600,78.25,1,Luva de montagem,MS066,1,10,5.2,82055900,795711513962,Ferramenta Básica
1122-893-7200,26.22,1,Pino de montagem,MS066,1,10,6.5,73182900,795711513979,
1123-851-8300,21.46,1,Luva,STIHL DE 03.2016 FERRAMENT. ESPECIAIS,1,10,6.5,73182900,795711515621,Ferramenta Básica
1123-855-4200,29.16,1,Flange,MA039 KA120 BG50 HT133,1,10,3.25,84099190,795711515300,Ferramenta Básica
1123-890-2202,648.4,1,Ferramenta de montagem,MSA160 MS210 MS250,1,10,5.2,82055900,795711496951,
1123-893-2400,112.84,1,Luva de montagem,MS025,1,10,5.2,82055900,795711498023,
1123-893-7500,70.87,1,Assento,MS210 MS250,1,10,9.75,39269090,795711514051,
1123-894-7700,36.59,1,Peça guia,MS025,1,10,5.2,84679100,795711514075,
1124-893-7100,21.46,1,Bucha,KA120 BG50 HT133,1,10,6.5,73182900,795711497804,Ferramenta Básica
1127-851-8300,24.39,1,Luva,STIHL DE 03.2016 FERRAMENT. ESPECIAIS,1,10,6.5,73182900,795711504090,Ferramenta Básica
1127-890-6400,30.65,1,Calibrador de corrente,MS039 BG50,1,10,0.0,90173090,795711503246,Ferramenta Básica
1127-893-2400,110.39,1,Luva para retentor,MS038 MS039,1,10,3.25,73072200,795711503253,
1127-893-2602,4.89,1,Cinta tensora,ms039,1,10,5.2,82055900,795711503260,
1128-891-8600,22.83,1,Suporte,MS460,1,10,5.2,84679100,795711508876,
1129-890-3401,34.51,1,Chave combinada,MS210 MS025 MS230 MS250 MS034 MS036 MS360 MS362 MS038 MS310 MS390 MS046 MS460 MS066 MS650 MS660 E14 E160 HT75 HT70K MSA160T HTA85,5,10,5.2,82041100,795711079994,
1130-893-4700,16.13,3,Perno de montagem,BG56 SH56,1,10,5.2,82055900,795711529888,
1140-890-1200,115.37,1,Flange,MS362,1,10,3.25,76169900,795711520731,
1141-893-4600,80.6,1,Luva de montagem,FS460,1,10,5.2,82055900,795711524449,
1144-890-1401,51.63,1,Jogo de ferramentas,MS362,1,10,5.2,82060000,886661053681,
1209-890-3600,104.33,1,Chave,MSE170,1,10,5.2,82041100,795711967888,
1250-890-2200,256.3,1,Ferramenta de montagem,MSA160 MS170 MS180 MS210 MS230 MS250,1,10,5.2,82055900,795711872854,
4020-890-5500,47.57,1,Matriz de afiação,FS86 FS88 FS106 FS108 FS160 FS220 FS280 FR106 FR108,1,10,5.2,82055900,795711160104,Ferramenta Básica
4020-890-5501,44.4,1,Matriz de afiação,Lâmina 2 Facas 305-2 Especial,5,10,5.2,82055900,795711553289,Ferramenta Básica
4020-893-5000,88.94,1,Travador para serras,FS86 FS160 FS220,1,10,5.0,73269090,795711072148,
4112-893-2400,20.29,1,Luva de montagem,FS86 FS106 FS300 FS350 FS380 FS460 FR106 BT130 HT70K,1,10,5.2,82055900,795711553098,
4112-893-2401,48.54,1,Luva de montagem,FS44,1,10,5.2,82055900,795711538286,
4116-890-1400,52.06,1,Jogo de ferramentas,FS86 FS160 FS220 FS280 FS300 FS350 FR106,3,10,5.2,82055900,795711044565,
4116-893-4601,45.83,1,Luva de montagem,FS460,1,10,5.2,82055900,795711539818,
4116-893-4700,28.8,1,Pino de montagem,FS300 FS350 FS380 FS460,1,10,5.2,82055900,795711539825,
4116-893-7200,91.29,1,Pino de encaixe,FS460,1,10,5.2,82055900,795711539955,
4116-893-7205,88.38,1,Pino de montagem - E140/160,E160,1,10,6.5,73182900,795711540012,
4116-894-1000,37.14,3,Peça de pressão,FS300 FS350 FS380 FS460 SPA65,1,10,5.2,82055900,795711540029,
4118-890-6400,79.03,1,Calibrador de corrente,SR400 PC70 PC75 HT70K FS300 FS350 FS380 FS460 KA120,1,10,0.0,90173090,795711540883,Ferramenta Básica
4118-890-6401,65.77,1,Calibrador de corrente,HS80 HS82R PC70 PC75 BT130 BR430 HT70K HT133,1,10,0.0,90173090,795711540890,Ferramenta Básica
4119-890-3400,32.03,1,Chave combinada,SR420 BR430,3,10,5.2,82041100,795711047238,
4119-890-4501,205.57,1,Extrator,FS86 FS106 FR106 BT130 HT133,1,10,5.2,82055900,795711542412,Ferramenta Básica
4119-890-4600,178.48,1,Ferramenta  desmontagem-FS88/108/FR108,FS88 FS108 FS300 FS350 FS380 FS460 FR108 KA120,1,10,5.2,82055900,795711543402,Ferramenta Básica
4119-893-2400,84.53,1,Pino para retentor,FS220,1,10,6.5,73182900,795711543471,
4119-893-4600,45.83,1,Cone de montagem,FS160 FS220 FS280 FS460 HS82R HSBG SH56,1,10,5.2,82055900,795711542092,Ferramenta Básica
4119-893-7200,78.57,1,Luva para rolamento,FS220,1,10,3.25,73072200,795711542603,
4119-893-7205,119.0,1,Luva do rolamento da Embreage,FS220,1,10,5.2,82055900,795711542610,
4126-893-4900,142.9,1,Ferramenta de montagem AV,FS86 FS300 FS350 FS380 FS460 PC70 PC75 HT70K KA120,1,10,5.2,82055900,795711544300,
4128-890-3400,34.51,2,Chave combinada,BT121 FS44 FS75 FS85 FS86 FS88 FS106 FS108 FS120 FS160 FS220 FS250 FS280 FS300 FS350 FR85 FR106 FR108 FR220 FR350 SR400 SP80 SP80K SP81 HS80 KA85R HS45 KM55 PC70 PC75 KA120,5,10,5.2,82041100,795711106713,Ferramenta Básica
4130-893-7800,2.36,1,Pino fixador,BT121 FS44 FS75 FS86 FS88 FS106 FS108 FS120 FS160 FS220 FS250 FS280 FS300 FS350 FS460 FR85 FR108 FR220 FR350 KA85R KM55 TS800,5,10,6.5,73182900,795711048792,
4133-893-0800,37.31,1,Extrator,HS80 PC70 PC75 HT70K FS300 FS350 FS380 FS460 KA120,1,10,5.2,82055900,795711549633,
4133-893-1301,95.64,1,Chave de montagem,SR400 HS45,1,10,5.2,82055900,795711549640,
4133-893-7800,1.65,1,Pino fixador,FCS,1,10,6.5,73182900,795711549367,
4147-893-2400,54.7,1,Luva de montagem,FS460,1,10,5.2,82055900,795711876746,
4180-007-1005,13.54,1,Kit regulagem folga da válvula,FS130,1,10,6.5,84842000,795711561673,
